date,latitude,longitude,nummosquitos,wnvpresent,culex_erraticus,culex_pipiens,culex_pipiens/restuans,culex_restuans,culex_salinarius,culex_tarsalis,culex_territans,year,week,spray,spray_distance,ten_day_avg_percip,ten_day_avg_temp,ten_day_avg_dewpoint,ten_day_avg_pressure,ten_day_avg_windspeed
2007-05-29,41.95469,-87.800991,1,0,0,0,1,0,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.95469,-87.800991,1,0,0,0,0,1,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.994991,-87.769279,1,0,0,0,0,1,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.974089,-87.824812,1,0,0,0,1,0,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.974089,-87.824812,4,0,0,0,0,1,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.9216,-87.666455,2,0,0,0,0,1,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.891118,-87.65449100000001,1,0,0,0,0,1,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.867108,-87.654224,1,0,0,0,1,0,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.867108,-87.654224,2,0,0,0,0,1,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.896282,-87.655232,1,0,0,0,0,1,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.919343,-87.694259,1,0,0,0,1,0,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.921965,-87.632085,2,0,0,0,1,0,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.921965,-87.632085,3,0,0,0,0,1,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.688324,-87.676709,1,0,0,0,1,0,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.688324,-87.676709,1,0,0,0,0,1,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.862292,-87.64886,1,0,0,0,0,1,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.720848,-87.666014,3,0,0,0,0,1,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.731922,-87.677512,5,0,0,0,0,1,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.731922,-87.677512,1,0,0,1,0,0,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.891126,-87.61156,1,0,0,0,1,0,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.891126,-87.61156,2,0,0,0,0,1,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.999128999999996,-87.795585,1,0,0,0,1,0,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,42.01743,-87.68776899999999,1,0,0,0,1,0,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.907645,-87.760886,1,0,0,0,0,1,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-05-29,41.732984,-87.649642,1,0,0,0,0,1,0,0,0,2007,22,0.0,0.0,2.89,65.6,50.599999999999994,29.4375,7.9
2007-06-05,41.95469,-87.800991,3,0,0,0,1,0,0,0,0,2007,23,0.0,0.0,4.085,69.05000000000001,58.8,29.031,7.775
2007-06-05,41.95469,-87.800991,5,0,0,0,0,1,0,0,0,2007,23,0.0,0.0,4.085,69.05000000000001,58.8,29.031,7.775
2007-06-05,41.95469,-87.800991,1,0,0,1,0,0,0,0,0,2007,23,0.0,0.0,4.085,69.05000000000001,58.8,29.031,7.775
2007-06-05,41.974089,-87.824812,1,0,0,0,1,0,0,0,0,2007,23,0.0,0.0,4.085,69.05000000000001,58.8,29.031,7.775
2007-06-05,41.974089,-87.824812,2,0,0,0,0,1,0,0,0,2007,23,0.0,0.0,4.085,69.05000000000001,58.8,29.031,7.775
2007-06-05,41.9216,-87.666455,1,0,0,0,1,0,0,0,0,2007,23,0.0,0.0,4.085,69.05000000000001,58.8,29.031,7.775
2007-06-05,41.9216,-87.666455,2,0,0,0,0,1,0,0,0,2007,23,0.0,0.0,4.085,69.05000000000001,58.8,29.031,7.775
2007-06-05,41.9216,-87.666455,1,0,0,1,0,0,0,0,0,2007,23,0.0,0.0,4.085,69.05000000000001,58.8,29.031,7.775
2007-06-05,41.891118,-87.65449100000001,1,0,0,0,0,1,0,0,0,2007,23,0.0,0.0,4.085,69.05000000000001,58.8,29.031,7.775
2007-06-05,41.867108,-87.654224,1,0,0,0,1,0,0,0,0,2007,23,0.0,0.0,4.085,69.05000000000001,58.8,29.031,7.775
2007-06-05,41.867108,-87.654224,1,0,0,0,0,1,0,0,0,2007,23,0.0,0.0,4.085,69.05000000000001,58.8,29.031,7.775
2007-06-05,41.867108,-87.654224,2,0,0,1,0,0,0,0,0,2007,23,0.0,0.0,4.085,69.05000000000001,58.8,29.031,7.775
2007-06-05,41.896282,-87.655232,2,0,0,0,0,1,0,0,0,2007,23,0.0,0.0,4.085,69.05000000000001,58.8,29.031,7.775
2007-06-05,41.919343,-87.694259,1,0,0,0,1,0,0,0,0,2007,23,0.0,0.0,4.085,69.05000000000001,58.8,29.031,7.775
2007-06-05,41.919343,-87.694259,1,0,0,0,0,1,0,0,0,2007,23,0.0,0.0,4.085,69.05000000000001,58.8,29.031,7.775
2007-06-05,41.921965,-87.632085,3,0,0,0,0,1,0,0,0,2007,23,0.0,0.0,4.085,69.05000000000001,58.8,29.031,7.775
2007-06-05,41.688324,-87.676709,4,0,0,0,0,1,0,0,0,2007,23,0.0,0.0,4.085,69.05000000000001,58.8,29.031,7.775
