Date,trap,spray_distance,spray
2011-08-29,T903,0.46175835007240257,1
2011-08-29,T903,0.4614999957781715,1
2011-08-29,T903,0.46119084088549117,1
2011-08-29,T903,0.46082977952455045,1
2011-08-29,T903,0.46051396214682694,1
2011-08-29,T903,0.4603138946589289,1
2011-08-29,T900,0.46043942246246794,1
2011-08-29,T900,0.4607586666187624,1
2011-08-29,T900,0.46109976116079837,1
2011-08-29,T900,0.4613808939059388,1
2011-08-29,T900,0.4616673030937749,1
2011-08-29,T900,0.46204177500863663,1
2011-08-29,T900,0.4625026363166268,1
2011-08-29,T900,0.46293188657171036,1
2011-08-29,T900,0.4631833037432311,1
2011-08-29,T900,0.462903603942091,1
2011-08-29,T900,0.4624865531947583,1
2011-08-29,T900,0.4621583261663095,1
2011-08-29,T900,0.46228378198514547,1
2011-08-29,T903,0.46218753582276056,1
2011-08-29,T903,0.4623961070757769,1
2011-08-29,T903,0.4627294127444477,1
2011-08-29,T903,0.4630913172996575,1
2011-08-29,T903,0.463402339670561,1
2011-08-29,T903,0.463636944689561,1
2011-08-29,T903,0.46389554285959894,1
2011-08-29,T903,0.4640398625608421,1
2011-08-29,T903,0.46423786828755115,1
2011-08-29,T903,0.4645367342452764,1
2011-08-29,T903,0.4647448461718241,1
2011-08-29,T903,0.46508598107462296,1
2011-08-29,T903,0.46544875997845825,1
2011-08-29,T903,0.4658488173872157,1
2011-08-29,T903,0.4661891557761188,1
2011-08-29,T903,0.4665379360053842,1
2011-08-29,T903,0.46685954654056916,1
2011-08-29,T903,0.46704836932112576,1
2011-08-29,T903,0.4672062617147577,1
2011-08-29,T903,0.46755073092125676,1
2011-08-29,T903,0.46789533296273933,1
2011-08-29,T903,0.46813664328015,1
2011-08-29,T903,0.4673954099836848,1
2011-08-29,T903,0.46708132254160173,1
2011-08-29,T903,0.4668012238433648,1
2011-08-29,T903,0.46649673000576936,1
2011-08-29,T903,0.4661442591003472,1
2011-08-29,T903,0.4658391600147724,1
2011-08-29,T903,0.4654665420611197,1
2011-08-29,T903,0.4651628766589661,1
2011-08-29,T903,0.46479622102950446,1
2011-08-29,T903,0.46451771131516717,1
2011-08-29,T903,0.4645246794508127,1
2011-08-29,T903,0.4647201580491355,1
2011-08-29,T903,0.4650843754332625,1
2011-08-29,T903,0.46543842132675584,1
2011-08-29,T903,0.46577084440913546,1
2011-08-29,T903,0.465982745370756,1
2011-08-29,T903,0.46596627891755066,1
2011-08-29,T903,0.4659221013895451,1
2011-08-29,T903,0.4646874874687068,1
2011-08-29,T903,0.4643840807725676,1
2011-08-29,T903,0.464060914908884,1
2011-08-29,T903,0.463742531415058,1
2011-08-29,T903,0.46355647308785064,1
2011-08-29,T903,0.4636798379131555,1
2011-08-29,T903,0.4638268097480652,1
2011-08-29,T903,0.46395159200601743,1
2011-08-29,T903,0.46367248970582725,1
2011-08-29,T903,0.4633840978197367,1
2011-08-29,T903,0.4630988472225285,1
2011-08-29,T903,0.4628281319962607,1
2011-08-29,T903,0.46259844183211657,1
2011-08-29,T903,0.4624597087206419,1
2011-08-29,T903,0.4623124224193722,1
2011-08-29,T903,0.46216476970996995,1
2011-08-29,T903,0.4620072731407325,1
2011-08-29,T903,0.46184084037739814,1
2011-08-29,T903,0.4616165604180726,1
2011-08-29,T903,0.46137580010341367,1
2011-08-29,T903,0.46159886566510694,1
2011-08-29,T903,0.46210422571704285,1
2011-08-29,T903,0.4623892745788424,1
2011-08-29,T903,0.4628557159387485,1
2011-08-29,T903,0.46321474392066303,1
2011-08-29,T903,0.4634717422657338,1
2011-08-29,T903,0.4637591311595692,1
2011-08-29,T903,0.46406744015698614,1
2011-08-29,T903,0.4650565089020341,1
2011-08-29,T903,0.4649571217709053,1
2011-08-29,T903,0.46483300252042487,1
2011-08-29,T903,0.4645827883990598,1
2011-08-29,T903,0.4642924669734941,1
2011-08-29,T903,0.4640341713960851,1
2011-08-29,T903,0.46387968754294345,1
2011-08-29,T903,0.4642120957313243,1
2011-09-07,T014,0.011187405875425513,1
2011-09-07,T014,0.010752456473824619,1
2011-09-07,T014,0.010314572092162503,1
2011-09-07,T014,0.00995307658741375,1
2011-09-07,T014,0.009506377286422082,1
2011-09-07,T014,0.009106794636767335,1
2011-09-07,T014,0.008605038782278883,1
2011-09-07,T014,0.00815326612806127,1
2011-09-07,T014,0.0077454753243508135,1
2011-09-07,T014,0.007250149132573722,1
2011-09-07,T014,0.005127686634520747,1
2011-09-07,T014,0.004577802444613653,1
2011-09-07,T014,0.004037279226815003,1
2011-09-07,T014,0.003563760373540818,1
2011-09-07,T014,0.0031073524278587912,1
2011-09-07,T014,0.0026588313431123874,1
2011-09-07,T014,0.0022008794202344846,1
2011-09-07,T014,0.001671813453143631,1
2011-09-07,T014,0.0011371170661623425,1
2011-09-07,T014,0.0006543068426968752,1
2011-09-07,T014,0.00015861623848059084,1
2011-09-07,T014,0.0003792151251047707,1
2011-09-07,T014,0.0009081028453710159,1
2011-09-07,T014,0.0018346945552842554,1
2011-09-07,T014,0.0020265262286311963,1
2011-09-07,T014,0.0018818453413790132,1
2011-09-07,T014,0.0018121839800684522,1
2011-09-07,T014,0.0016186550315456384,1
2011-09-07,T014,0.0014649642392200446,1
2011-09-07,T014,0.0013329798280794741,1
2011-09-07,T014,0.0012546780020895477,1
2011-09-07,T014,0.0013138119685636366,1
2011-09-07,T014,0.0014496241658272253,1
2011-09-07,T014,0.0016760879385251234,1
